route_start_m,route_end_m,crowd_width_m,area_m2,model_people,model_people_per_m2
0.0,14.7,80.6,1185.3,126.8,0.11
14.7,29.4,73.2,1076.4,108.8,0.1
29.4,44.1,58.5,860.3,99.7,0.12
44.1,58.9,59.3,872.5,114.3,0.13
58.9,73.6,54.2,797.0,110.5,0.14
73.6,88.3,68.5,1008.4,140.9,0.14
88.3,103.0,75.3,1107.3,153.6,0.14
103.0,117.7,70.6,1038.7,140.4,0.14
117.7,132.4,72.9,1072.9,129.1,0.12
132.4,147.1,53.9,793.4,102.7,0.13
147.1,161.8,59.6,877.6,110.1,0.13
161.8,176.6,75.3,1107.2,114.6,0.1
176.6,191.3,63.3,932.0,95.9,0.1
191.3,206.0,62.7,923.1,116.6,0.13
206.0,220.7,69.2,1018.5,116.3,0.11
220.7,235.4,64.1,943.0,102.0,0.11
235.4,250.1,74.8,1099.9,119.1,0.11
250.1,264.8,84.7,1246.9,121.5,0.1
264.8,279.5,95.3,1402.8,158.4,0.11
279.5,294.3,82.6,1215.8,143.3,0.12
294.3,309.0,84.5,1242.7,181.1,0.15
309.0,323.7,100.4,1477.0,202.3,0.14
323.7,338.4,105.0,1545.0,143.0,0.09
338.4,353.1,108.2,1591.5,133.5,0.08
353.1,367.8,103.5,1522.9,140.8,0.09
367.8,382.5,64.1,943.7,96.5,0.1
382.5,397.3,40.7,598.6,51.7,0.09
397.3,412.0,36.6,538.6,108.0,0.2
412.0,426.7,27.3,401.9,109.4,0.27
426.7,441.4,8.5,124.5,46.6,0.37
441.4,456.1,2.2,31.7,3.4,0.11
456.1,470.8,7.1,104.0,16.1,0.15
470.8,485.5,0.0,0.0,0.0,
485.5,500.0,0.0,0.0,0.0,
