segment,start_m,end_m,length_m,mean_width_m,area_m2,model_density_p_m2,assumed_density_p_m2
strip00,0.0,50.1,50.1,24.5,1228.4,0.22,
strip01,50.1,100.2,50.1,18.1,908.2,0.28,
strip02,100.2,150.4,50.1,23.1,1156.1,0.3,
strip03,150.4,200.5,50.1,21.7,1089.1,0.27,
strip04,200.5,250.6,50.1,21.3,1065.7,0.23,
strip05,250.6,300.7,50.1,21.0,1051.7,0.24,
strip06,300.7,350.9,50.1,22.8,1141.8,0.23,
strip07,350.9,401.0,50.1,29.1,1459.1,0.22,
strip08,401.0,451.1,50.1,28.9,1447.9,0.29,
strip09,451.1,501.2,50.1,34.9,1750.1,0.19,
strip10,501.2,551.3,50.1,21.8,1091.1,0.2,
strip11,551.3,601.5,50.1,10.4,523.3,0.49,
strip12,601.5,651.6,50.1,1.7,87.6,0.43,
strip13,651.6,700.0,48.4,0.0,0.0,0.0,
