route_start_px,route_end_px,mean_observations,people_in_slice,cumulative_people,cumulative_people_calibrated
0,60,1.5,127.8,127.8,737.4
60,120,3.4,110.1,237.9,1372.7
120,180,4.9,100.7,338.6,1953.9
180,240,6.4,113.8,452.4,2610.3
240,300,7.7,110.4,562.8,3247.6
300,360,7.5,142.6,705.5,4070.6
360,420,6.9,154.2,859.7,4960.3
420,480,6.5,140.8,1000.5,5772.8
480,540,6.3,130.5,1131.0,6525.7
540,600,6.4,103.1,1234.1,7120.6
600,660,6.2,109.4,1343.4,7751.6
660,720,6.1,113.8,1457.3,8408.5
720,780,6.1,95.2,1552.4,8957.6
780,840,6.1,115.7,1668.2,9625.3
840,900,6.1,115.9,1784.1,10294.3
900,960,6.3,101.2,1885.3,10878.0
960,1020,9.5,116.5,2001.7,11549.9
1020,1080,12.9,117.3,2119.1,12226.9
1080,1140,13.6,155.6,2274.7,13124.9
1140,1200,13.6,141.8,2416.5,13943.1
1200,1260,13.8,177.8,2594.2,14968.8
1260,1320,10.7,200.3,2794.5,16124.4
1320,1380,10.0,144.4,2938.9,16957.4
1380,1440,12.6,133.7,3072.6,17729.0
1440,1500,11.1,141.8,3214.4,18547.0
1500,1560,9.7,97.9,3312.3,19112.0
1560,1620,8.3,51.9,3364.2,19411.4
1620,1680,4.3,107.2,3471.4,20029.8
1680,1740,0.0,111.1,3582.4,20670.7
1740,1800,0.0,46.2,3628.6,20937.2
1800,1860,0.0,3.6,3632.2,20958.0
1860,1920,0.0,14.7,3646.9,21042.8
1920,1980,0.0,0.0,3646.9,21042.8
1980,2039,0.0,0.0,3646.9,21042.8
