keyframe,ground_advance_px,people_in_exiting_strip,cumulative_people,note
scene00_f00002,29,58.3,58.3,
scene00_f00022,34,70.4,128.7,
scene00_f00042,33,46.0,174.7,
scene00_f00062,37,43.2,217.9,
scene00_f00082,39,59.8,277.7,
scene00_f00102,42,49.8,327.5,
scene00_f00122,44,62.1,389.5,
scene00_f00142,47,61.8,451.3,
scene00_f00162,47,87.4,538.7,
scene00_f00182,49,71.6,610.3,
scene00_f00202,49,81.6,691.9,
scene00_f00222,46,61.1,752.9,
scene00_f00242,46,54.8,807.7,
scene00_f00262,51,46.5,854.2,
scene00_f00282,53,67.6,921.8,
scene00_f00302,51,65.2,987.0,
scene00_f00322,45,38.5,1025.5,
scene00_f00342,49,47.4,1072.9,
scene00_f00362,50,58.2,1131.1,
scene00_f00382,44,57.0,1188.1,
scene00_f00402,44,36.6,1224.7,
scene00_f00422,35,30.9,1255.6,
scene00_f00442,24,24.8,1280.4,
scene00_f00462,3,1.7,1282.1,
scene00_f00482,-1,0.0,1282.1,"no forward motion, strip skipped"
scene00_f00502,-2,0.0,1282.1,"no forward motion, strip skipped"
scene00_f00522,2,0.2,1282.3,
scene00_f00542,8,12.4,1294.7,
scene00_f00562,18,27.1,1321.8,
scene00_f00582,29,38.2,1360.0,
scene00_f00602,33,54.9,1415.0,
scene00_f00622,35,45.3,1460.3,
scene00_f00642,40,59.3,1519.6,
scene00_f00662,42,52.1,1571.7,
scene00_f00682,45,74.0,1645.7,
scene00_f00702,43,55.4,1701.1,
scene00_f00722,33,51.3,1752.4,
scene00_f00742,11,13.7,1766.1,
scene00_f00762,9,14.8,1780.9,
scene00_f00782,14,22.1,1802.9,
scene00_f00802,21,37.0,1839.9,
scene00_f00822,3,2.1,1842.0,
scene00_f00842,-1,0.0,1842.0,"no forward motion, strip skipped"
scene00_f00862,-1,0.0,1842.0,"no forward motion, strip skipped"
scene00_f00882,,687.8,2529.8,people still visible in last keyframe
