image,count
scene00_f00002.jpg,199
scene00_f00041.jpg,181
scene00_f00080.jpg,193
scene00_f00119.jpg,147
scene00_f00158.jpg,174
scene00_f00197.jpg,186
scene00_f00236.jpg,154
scene00_f00275.jpg,147
scene00_f00314.jpg,139
scene00_f00353.jpg,145
scene00_f00392.jpg,216
scene00_f00431.jpg,212
scene00_f00470.jpg,139
scene00_f00509.jpg,246
scene00_f00548.jpg,232
scene00_f00587.jpg,271
scene00_f00626.jpg,274
scene00_f00665.jpg,250
scene00_f00704.jpg,167
scene00_f00743.jpg,176
scene00_f00782.jpg,116
scene00_f00821.jpg,78
scene00_f00860.jpg,55
scene00_f00899.jpg,46
scene00_f00938.jpg,21
scene00_f00977.jpg,42
scene00_f01016.jpg,41
