image,count
scene00_f00002.jpg,921
scene00_f00041.jpg,862
scene00_f00080.jpg,913
scene00_f00119.jpg,772
scene00_f00158.jpg,835
scene00_f00197.jpg,884
scene00_f00236.jpg,785
scene00_f00275.jpg,870
scene00_f00314.jpg,876
scene00_f00353.jpg,793
scene00_f00392.jpg,1123
scene00_f00431.jpg,978
scene00_f00470.jpg,1125
scene00_f00509.jpg,1239
scene00_f00548.jpg,1146
scene00_f00587.jpg,1251
scene00_f00626.jpg,1100
scene00_f00665.jpg,1000
scene00_f00704.jpg,866
scene00_f00743.jpg,686
scene00_f00782.jpg,447
scene00_f00821.jpg,300
scene00_f00860.jpg,224
scene00_f00899.jpg,202
scene00_f00938.jpg,71
scene00_f00977.jpg,892
scene00_f01016.jpg,954
