keyframe,ground_advance_px,people_in_exiting_strip,cumulative_people,note
scene00_f00002,41,26.2,26.2,
scene00_f00041,39,36.8,63.0,
scene00_f00080,43,52.6,115.6,
scene00_f00119,50,68.7,184.3,
scene00_f00158,51,51.1,235.4,
scene00_f00197,57,66.5,302.0,
scene00_f00236,78,87.7,389.6,
scene00_f00275,83,162.4,552.0,
scene00_f00314,105,140.3,692.2,
scene00_f00353,85,82.9,775.1,
scene00_f00392,86,107.1,882.3,
scene00_f00431,104,154.5,1036.8,
scene00_f00470,96,117.8,1154.5,
scene00_f00509,91,227.0,1381.6,
scene00_f00548,100,120.9,1502.5,
scene00_f00587,92,131.8,1634.3,
scene00_f00626,109,164.2,1798.4,
scene00_f00665,118,186.3,1984.7,
scene00_f00704,131,186.0,2170.7,
scene00_f00743,147,232.1,2402.8,
scene00_f00782,194,235.5,2638.3,
scene00_f00821,225,161.7,2800.0,
scene00_f00860,243,114.0,2914.0,
scene00_f00899,252,105.6,3019.5,
scene00_f00938,192,52.1,3071.6,
scene00_f00977,13,0.0,3071.6,
scene00_f01016,,953.8,4025.4,people still visible in last keyframe
